rule_id,rule_reference,declaration_type,requirement_description,package_context,commodity_category,applicability_conditions,mandatory_status,source_section,evidence_type,ocr_field,validation_function,human_condition_text,imported_status,quantity_condition,package_structure_condition,exemption_exception,effective_from,effective_to,amendment_version,source_document,source_page,source_url,inspector_review_required,rule_status,rule_family,notes,database_version,baseline_origin
LMPC-R6-GENERIC-NAME-001,Rule 6(1)(b),common_generic_name,Common/generic commodity name,RETAIL|IMPORTED,GENERAL,chapter_ii_applies == true,MANDATORY,Rule 6(1)(b); Rule 3; Rule 26,package_label,common_generic_name,validate_commodity_identity,Applies when the package is a pre-packaged commodity within Chapter II after Rule 3 scope exclusions and Rule 26 exemptions are evaluated.,BOTH,,,,,,,"DCA consolidated Legal Metrology (Packaged Commodities) Rules, 2011 + applicable amendments",,https://consumeraffairs.gov.in/pages/legal-metrology-act,False,ACTIVE,DECLARATION,Baseline rule upgraded with structured metadata; exact source page retained as null unless verified in an official source copy.,1.0,v0.1
LMPC-R6-ENTITY-001,Rule 6(1),manufacturer_packer_importer,Applicable manufacturer/packer/importer name and address,RETAIL|IMPORTED,GENERAL,chapter_ii_applies == true,MANDATORY,Rule 6(1),package_label,manufacturer_packer_importer,validate_responsible_entity_identity,"Identify the legally applicable manufacturer, packer or importer declaration for a package to which Chapter II applies.",BOTH,,,,,,,"DCA consolidated Legal Metrology (Packaged Commodities) Rules, 2011 + applicable amendments",,https://consumeraffairs.gov.in/pages/legal-metrology-act,False,ACTIVE,DECLARATION,Baseline rule upgraded with structured metadata; exact source page retained as null unless verified in an official source copy.,1.0,v0.1
LMPC-R6-COO-001,Rule 6 — imported products,country_of_origin,Country of origin for imported retail product,IMPORTED|RETAIL,GENERAL,is_imported == true AND is_retail_package == true AND chapter_ii_applies == true,MANDATORY,Rule 6; imported products,package_label,country_of_origin,validate_country_of_origin,Applies to imported retail packages within Chapter II; not a universal domestic-package LMPC declaration.,BOTH,,,,,,,"DCA consolidated Legal Metrology (Packaged Commodities) Rules, 2011 + applicable amendments",,https://consumeraffairs.gov.in/pages/legal-metrology-act,False,ACTIVE,DECLARATION,Baseline rule upgraded with structured metadata; exact source page retained as null unless verified in an official source copy.,1.0,v0.1
LMPC-R6-NETQ-001,"Rules 6, 11-13",net_quantity,Net quantity in applicable form/unit,RETAIL|IMPORTED,GENERAL,applicable_quantity_declaration_required == true,CONDITIONAL,"Rules 6, 11–13; applicable Schedules",package_label_and_measurement,net_quantity,validate_quantity_representation,Applies after package scope/exemption checks; exact representation and commodity-specific conditions are resolved using Rules 11–13 and applicable schedules.,BOTH,Resolve by weight/measure/number and applicable commodity schedule.,,,,,,"DCA consolidated Legal Metrology (Packaged Commodities) Rules, 2011 + applicable amendments",,https://consumeraffairs.gov.in/pages/legal-metrology-act,False,ACTIVE,DECLARATION,Baseline rule upgraded with structured metadata; exact source page retained as null unless verified in an official source copy.,1.0,v0.1
LMPC-R18-MRP-001,Rule 6(1)(e); Rule 2(m),mrp,Retail sale price declaration (MRP) in the form required by the current Rule 6(1)(e) wording.,RETAIL|IMPORTED,GENERAL,chapter_ii_applies == true AND package_is_sold_at_retail_in_india == true,MANDATORY,Rule 6(1)(e); Rule 2(m),package_label,mrp,validate_mrp,Applies to retail packages within Chapter II where the retail sale price declaration is required; Rule 18(2) sale-above-MRP is a separate enforcement check.,BOTH,,,,2022-10-01,,"G.S.R. 226(E), 28-03-2022; Rule 6(1)(e) current wording","DCA consolidated Legal Metrology (Packaged Commodities) Rules, 2011 + applicable amendments",,https://consumeraffairs.gov.in/pages/legal-metrology-act,False,ACTIVE,DECLARATION,Separated from sale-above-MRP enforcement. Do not use this record to decide transaction price compliance.,1.0,v0.1
LMPC-R6-DATE-001,Rule 6(1)(d),manufacture_pack_import_date,Manufacture/pack/import month-year/date where current trigger applies,RETAIL|IMPORTED,GENERAL|ELECTRONIC_PRODUCT|SPARE_PART|ACCESSORY,chapter_ii_applies == true AND date_declaration_trigger_applies == true,CONDITIONAL,Rule 6(1)(d) and applicable provisos,package_label,manufacture_pack_import_date,validate_date_declaration,Applies according to current Rule 6 date provisions and product/context-specific provisos; do not universalize across all commodities.,BOTH,,,,,,,"DCA consolidated Legal Metrology (Packaged Commodities) Rules, 2011 + applicable amendments",,https://consumeraffairs.gov.in/pages/legal-metrology-act,False,ACTIVE,DECLARATION,Baseline rule upgraded with structured metadata; exact source page retained as null unless verified in an official source copy.,1.0,v0.1
LMPC-R6-BESTBEFORE-001,Rule 6(1)(da) / applicable product-law proviso,best_before_use_by_expiry,Best-before/use-by/expiry where commodity/product law triggers it,RETAIL|IMPORTED,FOOD_OR_QUALIFYING_PRODUCT,commodity_may_become_unfit_for_human_consumption == true OR product_specific_law_requires_date == true,CONDITIONAL,Rule 6(1)(da),package_label,best_before_use_by_expiry,validate_date_requirement,"Triggered where the commodity may become unfit for human consumption, subject to the proviso where another law makes provision.",BOTH,,,,2018-01-01,,"G.S.R. 629(E), 23-06-2017; effective 01-01-2018","DCA consolidated Legal Metrology (Packaged Commodities) Rules, 2011 + applicable amendments",,https://consumeraffairs.gov.in/pages/legal-metrology-act,False,ACTIVE,DECLARATION,Product-specific law may determine exact date semantics; do not treat every packaged commodity as requiring an expiry/best-before declaration.,1.0,v0.1
LMPC-R6-CONSUMERCARE-001,Rule 6(2),consumer_care,Consumer complaint contact details,RETAIL|IMPORTED,GENERAL,rule_6_applies == true,MANDATORY,Rule 6(2),package_label,consumer_care,validate_consumer_care,Applies when Rule 6 applies; current declaration includes consumer complaint contact details.,BOTH,,,,,,,"DCA consolidated Legal Metrology (Packaged Commodities) Rules, 2011 + applicable amendments",,https://consumeraffairs.gov.in/pages/legal-metrology-act,False,ACTIVE,DECLARATION,Baseline rule upgraded with structured metadata; exact source page retained as null unless verified in an official source copy.,1.0,v0.1
LMPC-R6-DIMENSIONS-001,Rule 6; DCA advisory 18 Jan 2023,dimensions,Dimensions where relevant to the commodity,RETAIL|IMPORTED,DIMENSION_RELEVANT_COMMODITY,dimensions_are_relevant == true AND chapter_ii_applies == true,CONDITIONAL,Rule 6; DCA advisory dated 18 Jan 2023,package_label,dimensions,validate_dimensions,Applies when the dimensions of the commodity are relevant; separate dimensions may be needed for differently sized pieces.,BOTH,,,,,,,"DCA consolidated Legal Metrology (Packaged Commodities) Rules, 2011 + applicable amendments",,https://consumeraffairs.gov.in/pages/legal-metrology-act,False,ACTIVE,DECLARATION,The advisory is a cross-reference; store exact statutory clause/source separately when ingested.,1.0,v0.1
LMPC-R6-UNITPRICE-001,Rule 6(11),unit_sale_price,"Applicable unit sale price, subject to exceptions",RETAIL|IMPORTED,GENERAL,rule_6_applies == true AND unit_sale_price_exception == false,CONDITIONAL,Rule 6(11),package_label_and_calculation,unit_sale_price,validate_unit_sale_price,"Applies when Rule 6 applies, subject to Rule 6(11) and package-specific exceptions such as qualifying combination/group/multi-piece packages.",BOTH,,,,,,,"DCA consolidated Legal Metrology (Packaged Commodities) Rules, 2011 + applicable amendments",,https://consumeraffairs.gov.in/pages/legal-metrology-act,False,ACTIVE,DECLARATION,Baseline rule upgraded with structured metadata; exact source page retained as null unless verified in an official source copy.,1.0,v0.1
